user_id,provider_id,avg_rating,total_review_count,tag_1_text,tag_1_count,tag_2_text,tag_2_count,tag_3_text,tag_3_count,tag_4_text,tag_4_count,tag_5_text,tag_5_count
11635411,1483542,5.0,29,약속 시간을 잘 지켜요,13,응대가 친절해요,24,가격 대비 만족스러워요,19,결과물 완성도가 높아요,21,과도한 추가금이 없어요,4
7825929,991392,4.8,26,결과물 완성도가 높아요,17,진행 현황을 수시로 공유해요,6,가격 대비 만족스러워요,19,약속 시간을 잘 지켜요,7,응답이 빨라요,7
6900826,870864,3.4,21,진행 현황을 수시로 공유해요,2,약속 시간을 잘 지켜요,6,가격 대비 만족스러워요,7,응답이 빨라요,2,작업 속도가 빨라요,3
11206784,1431674,4.4,13,과도한 추가금이 없어요,4,응답이 빨라요,8,가격 대비 만족스러워요,4,상담이 자세해요,2,결과물 완성도가 높아요,9
7727865,980050,4.7,12,가격 대비 만족스러워요,9,응대가 친절해요,5,진행 현황을 수시로 공유해요,5,결과물 완성도가 높아요,8,A/S를 잘해줘요,1
7629014,968801,4.5,12,가격 대비 만족스러워요,8,결과물 완성도가 높아요,6,약속 시간을 잘 지켜요,6,응대가 친절해요,5,작업 속도가 빨라요,2
6355376,1181221,5.0,19,약속 시간을 잘 지켜요,11,가격 대비 만족스러워요,15,응답이 빨라요,12,진행 현황을 수시로 공유해요,10,결과물 완성도가 높아요,18
10162635,1311942,5.0,164,상담이 자세해요,17,결과물 완성도가 높아요,113,응대가 친절해요,116,작업 속도가 빨라요,45,요청사항을 정확히 반영해요,14
15638168,2029335,5.0,97,경험과 노하우가 많아요,13,진행 현황을 수시로 공유해요,9,관리법을 잘 알려줘요,8,과도한 추가금이 없어요,18,약속 시간을 잘 지켜요,23
16188088,2369023,5.0,30,가격 대비 만족스러워요,14,상담이 자세해요,12,응대가 친절해요,21,작업 속도가 빨라요,13,결과물 완성도가 높아요,16
9956521,1310293,4.7,30,가격 대비 만족스러워요,23,결과물 완성도가 높아요,21,약속 시간을 잘 지켜요,6,진행 현황을 수시로 공유해요,1,응대가 친절해요,21
5221639,670473,4.8,20,결과물 완성도가 높아요,1,요청사항을 정확히 반영해요,1,작업 속도가 빨라요,1,응대가 친절해요,1,응답이 빨라요,1
1073001,217345,5.0,10,결과물 완성도가 높아요,4,응대가 친절해요,3,가격 대비 만족스러워요,2,시세보다 저렴해요,1,응답이 빨라요,3
7803833,988919,5.0,4,,,,,,,,,,
8290875,1935177,5.0,2,응대가 친절해요,1,약속 시간을 잘 지켜요,1,상담이 자세해요,2,시세보다 저렴해요,1,과도한 추가금이 없어요,1
12732963,1644275,3.0,2,결과물 완성도가 높아요,1,응대가 친절해요,1,가격 대비 만족스러워요,1,,,,
2002219,331099,5.0,2,,,,,,,,,,
18099840,2424601,0.0,0,,,,,,,,,,
16729862,2202896,0.0,0,,,,,,,,,,
10403653,1336653,0.0,0,,,,,,,,,,
7280931,926189,0.0,0,,,,,,,,,,
7164268,909303,0.0,0,,,,,,,,,,
3246456,457016,5.0,94,진행 현황을 수시로 공유해요,8,가격 대비 만족스러워요,58,응답이 빨라요,25,약속 시간을 잘 지켜요,25,응대가 친절해요,60
5566409,709660,5.0,45,결과물 완성도가 높아요,17,응대가 친절해요,20,작업 속도가 빨라요,12,응답이 빨라요,10,가격 대비 만족스러워요,15
15950623,2081295,5.0,25,가격 대비 만족스러워요,6,결과물 완성도가 높아요,21,응대가 친절해요,21,작업 속도가 빨라요,6,상담이 자세해요,13
5436335,691824,4.4,13,가격 대비 만족스러워요,4,결과물 완성도가 높아요,6,약속 시간을 잘 지켜요,1,응대가 친절해요,6,요청사항을 정확히 반영해요,2
3323211,737418,5.0,1,,,,,,,,,,
8047855,1016198,4.5,8,진행 현황을 수시로 공유해요,2,결과물 완성도가 높아요,6,작업 속도가 빨라요,3,응대가 친절해요,5,약속 시간을 잘 지켜요,6
3102269,693654,5.0,4,결과물 완성도가 높아요,2,응대가 친절해요,2,작업 속도가 빨라요,2,가격 대비 만족스러워요,2,응답이 빨라요,1
1352469,259353,5.0,18,결과물 완성도가 높아요,5,응대가 친절해요,7,작업 속도가 빨라요,4,가격 대비 만족스러워요,7,응답이 빨라요,3
9326284,1164638,0.0,0,,,,,,,,,,
7237676,920073,0.0,0,,,,,,,,,,
10860616,1384215,4.7,50,진행 현황을 수시로 공유해요,6,결과물 완성도가 높아요,37,작업 속도가 빨라요,21,응대가 친절해요,31,약속 시간을 잘 지켜요,21
4461865,591153,5.0,2,,,,,,,,,,
4878059,636581,4.9,98,응대가 친절해요,49,약속 시간을 잘 지켜요,27,가격 대비 만족스러워요,39,응답이 빨라요,20,진행 현황을 수시로 공유해요,11
3597695,494622,5.0,25,작업 속도가 빨라요,5,가격 대비 만족스러워요,7,약속 시간을 잘 지켜요,3,결과물 완성도가 높아요,5,응대가 친절해요,6
691044,145664,5.0,15,가격 대비 만족스러워요,1,작업 속도가 빨라요,1,응대가 친절해요,2,약속 시간을 잘 지켜요,1,결과물 완성도가 높아요,1
5313947,1501442,5.0,13,약속 시간을 잘 지켜요,5,결과물 완성도가 높아요,5,가격 대비 만족스러워요,11,응답이 빨라요,2,작업 속도가 빨라요,1
2824925,870145,5.0,8,결과물 완성도가 높아요,1,응대가 친절해요,2,작업 속도가 빨라요,1,가격 대비 만족스러워요,2,응답이 빨라요,1
12398319,1592086,4.0,4,결과물 완성도가 높아요,3,응대가 친절해요,2,가격 대비 만족스러워요,2,,,,
6986743,883851,5.0,2,약속 시간을 잘 지켜요,1,결과물 완성도가 높아요,1,가격 대비 만족스러워요,2,응대가 친절해요,1,,
14928778,1998698,0.0,0,,,,,,,,,,
9646327,1215505,5.0,3,가격 대비 만족스러워요,3,응대가 친절해요,2,결과물 완성도가 높아요,3,,,,
4439539,821864,5.0,3,진행 현황을 수시로 공유해요,1,가격 대비 만족스러워요,1,응답이 빨라요,1,약속 시간을 잘 지켜요,1,응대가 친절해요,1
9415787,1177855,0.0,0,,,,,,,,,,
5276320,675951,5.0,16,진행 현황을 수시로 공유해요,1,약속 시간을 잘 지켜요,2,가격 대비 만족스러워요,2,응답이 빨라요,1,작업 속도가 빨라요,1
7013168,887644,5.0,801,가격 대비 만족스러워요,464,응답이 빨라요,237,요청사항을 정확히 반영해요,79,약속 시간을 잘 지켜요,286,진행 현황을 수시로 공유해요,142
2597023,394676,5.0,87,약속 시간을 잘 지켜요,19,응대가 친절해요,28,작업 속도가 빨라요,9,결과물 완성도가 높아요,30,진행 현황을 수시로 공유해요,7
2750668,412814,5.0,78,약속 시간을 잘 지켜요,17,가격 대비 만족스러워요,27,응답이 빨라요,17,진행 현황을 수시로 공유해요,12,결과물 완성도가 높아요,34
10038584,1274282,4.9,67,응대가 친절해요,64,약속 시간을 잘 지켜요,54,가격 대비 만족스러워요,61,응답이 빨라요,46,진행 현황을 수시로 공유해요,36
6514787,827483,4.9,51,진행 현황을 수시로 공유해요,9,약속 시간을 잘 지켜요,19,가격 대비 만족스러워요,29,응답이 빨라요,13,작업 속도가 빨라요,16
11231809,1475284,5.0,7,작업 속도가 빨라요,1,가격 대비 만족스러워요,6,결과물 완성도가 높아요,6,응대가 친절해요,6,,
11966062,1544409,5.0,3,결과물 완성도가 높아요,2,약속 시간을 잘 지켜요,1,응답이 빨라요,1,응대가 친절해요,2,가격 대비 만족스러워요,1
17697137,2359115,0.0,0,,,,,,,,,,
17557646,2336089,0.0,0,,,,,,,,,,
12254802,1568636,0.0,0,,,,,,,,,,
11881470,1515040,0.0,0,,,,,,,,,,
4108976,545879,5.0,46,작업 속도가 빨라요,6,응답이 빨라요,6,약속 시간을 잘 지켜요,9,가격 대비 만족스러워요,11,진행 현황을 수시로 공유해요,3
8383453,1054543,5.0,22,가격 대비 만족스러워요,11,작업 속도가 빨라요,8,응대가 친절해요,15,응답이 빨라요,5,결과물 완성도가 높아요,14
13801015,1831741,5.0,8,가격 대비 만족스러워요,3,작업 속도가 빨라요,3,응대가 친절해요,5,약속 시간을 잘 지켜요,1,결과물 완성도가 높아요,7
5974260,751649,5.0,7,작업 속도가 빨라요,1,가격 대비 만족스러워요,4,약속 시간을 잘 지켜요,3,결과물 완성도가 높아요,4,응답이 빨라요,2
2418495,375699,5.0,6,,,,,,,,,,
7665923,1670931,5.0,4,가격 대비 만족스러워요,3,결과물 완성도가 높아요,4,응대가 친절해요,3,상담이 자세해요,2,요청사항을 정확히 반영해요,1
8510603,1531303,5.0,3,결과물 완성도가 높아요,3,응대가 친절해요,1,가격 대비 만족스러워요,2,,,,
2883953,1131342,5.0,3,약속 시간을 잘 지켜요,3,응답이 빨라요,3,가격 대비 만족스러워요,3,진행 현황을 수시로 공유해요,3,결과물 완성도가 높아요,3
7218645,917341,5.0,2,,,,,,,,,,
2611584,396486,5.0,1,,,,,,,,,,
18088625,2422487,0.0,0,,,,,,,,,,
15354706,1977484,0.0,0,,,,,,,,,,
8241937,1037951,0.0,0,,,,,,,,,,
6943830,877524,0.0,0,,,,,,,,,,
2677487,404252,0.0,0,,,,,,,,,,
10846975,1382670,5.0,41,진행 현황을 수시로 공유해요,5,결과물 완성도가 높아요,31,작업 속도가 빨라요,4,응대가 친절해요,30,약속 시간을 잘 지켜요,15
4730934,621127,4.9,11,응대가 친절해요,9,응답이 빨라요,7,작업 속도가 빨라요,8,결과물 완성도가 높아요,11,진행 현황을 수시로 공유해요,5
13383670,1727197,4.6,9,가격 대비 만족스러워요,5,응답이 빨라요,3,결과물 완성도가 높아요,7,응대가 친절해요,7,,
4694835,2017252,4.2,5,과도한 추가금이 없어요,2,경험과 노하우가 많아요,2,요청사항을 정확히 반영해요,3,결과물 완성도가 높아요,3,가격 대비 만족스러워요,2
12252262,1568253,5.0,4,가격 대비 만족스러워요,3,약속 시간을 잘 지켜요,2,결과물 완성도가 높아요,3,응대가 친절해요,2,,
16680980,2240334,5.0,2,결과물 완성도가 높아요,2,요청사항을 정확히 반영해요,1,작업 속도가 빨라요,1,과도한 추가금이 없어요,1,응답이 빨라요,1
18275033,2453972,0.0,0,,,,,,,,,,
1786798,893580,5.0,213,진행 현황을 수시로 공유해요,12,결과물 완성도가 높아요,127,작업 속도가 빨라요,61,응대가 친절해요,119,약속 시간을 잘 지켜요,61
2312902,599226,5.0,73,결과물 완성도가 높아요,45,응대가 친절해요,43,작업 속도가 빨라요,6,가격 대비 만족스러워요,31,약속 시간을 잘 지켜요,17
10685282,1362274,5.0,66,응대가 친절해요,47,결과물 완성도가 높아요,48,응답이 빨라요,14,가격 대비 만족스러워요,38,작업 속도가 빨라요,9
5246128,1028806,5.0,57,진행 현황을 수시로 공유해요,22,약속 시간을 잘 지켜요,38,응답이 빨라요,30,가격 대비 만족스러워요,42,작업 속도가 빨라요,28
15022709,1918336,4.7,37,작업 속도가 빨라요,4,가격 대비 만족스러워요,22,약속 시간을 잘 지켜요,8,응답이 빨라요,5,진행 현황을 수시로 공유해요,6
1412362,268007,4.9,36,상담이 자세해요,1,결과물 완성도가 높아요,1,진행 현황을 수시로 공유해요,1,A/S를 잘해줘요,1,작업 속도가 빨라요,1
1391327,265008,4.7,26,시세보다 저렴해요,3,약속 시간을 잘 지켜요,3,상담이 자세해요,3,작업 속도가 빨라요,2,응대가 친절해요,3
5863909,1896466,5.0,3,경험과 노하우가 많아요,3,포인트를 잘 짚어줘요,3,기초부터 가르쳐줘요,1,,,,
3341145,466808,5.0,15,실력이 향상됐어요,4,요청사항을 정확히 반영해요,9,경험과 노하우가 많아요,11,응대가 친절해요,6,커리큘럼이 탄탄해요,4
2758304,413702,0.0,0,,,,,,,,,,
7554320,960173,0.0,0,,,,,,,,,,
6698122,1158392,5.0,7,응대가 친절해요,6,기초부터 가르쳐줘요,6,가격 대비 만족스러워요,6,커리큘럼이 탄탄해요,3,포인트를 잘 짚어줘요,6
17758104,2369707,5.0,4,실력이 향상됐어요,1,가격 대비 만족스러워요,4,기초부터 가르쳐줘요,1,포인트를 잘 짚어줘요,1,상담이 자세해요,3
13468595,1738800,5.0,2,기초부터 가르쳐줘요,1,가격 대비 만족스러워요,1,경험과 노하우가 많아요,2,포인트를 잘 짚어줘요,2,,
16086615,2262124,0.0,0,,,,,,,,,,
16401505,2152968,0.0,0,,,,,,,,,,
11091660,1414530,0.0,0,,,,,,,,,,
10635833,1356947,0.0,0,,,,,,,,,,
4170294,726648,0.0,0,,,,,,,,,,
907481,425688,0.0,0,,,,,,,,,,
9490362,1189361,0.0,0,,,,,,,,,,
6842235,1931506,0.0,0,,,,,,,,,,
13113406,1693997,5.0,6,요청사항을 정확히 반영해요,4,응대가 친절해요,6,결과물 완성도가 높아요,2,가격 대비 만족스러워요,3,상담이 자세해요,4
15070326,2343869,5.0,5,시세보다 저렴해요,1,실력이 향상됐어요,3,가격 대비 만족스러워요,4,상담이 자세해요,5,요청사항을 정확히 반영해요,2
18393784,2469587,0.0,0,,,,,,,,,,
3549246,934343,5.0,5,,,,,,,,,,
11407227,1455043,5.0,3,경험과 노하우가 많아요,3,가격 대비 만족스러워요,3,커리큘럼이 탄탄해요,2,기초부터 가르쳐줘요,2,응대가 친절해요,3
8403484,1056962,5.0,3,기초부터 가르쳐줘요,1,경험과 노하우가 많아요,1,응대가 친절해요,2,포인트를 잘 짚어줘요,2,가격 대비 만족스러워요,1
5229529,2360032,5.0,2,약속 시간을 잘 지켜요,1,가격 대비 만족스러워요,1,상담이 자세해요,1,경험과 노하우가 많아요,2,포인트를 잘 짚어줘요,1
9073214,2408839,0.0,0,,,,,,,,,,
211688,347910,0.0,0,,,,,,,,,,
16249159,2128628,5.0,21,실력이 향상됐어요,5,경험과 노하우가 많아요,8,가격 대비 만족스러워요,7,응대가 친절해요,13,포인트를 잘 짚어줘요,9
5504661,1396115,5.0,4,경험과 노하우가 많아요,3,요청사항을 정확히 반영해요,2,응대가 친절해요,3,가격 대비 만족스러워요,2,약속 시간을 잘 지켜요,1
18309130,2460262,0.0,0,,,,,,,,,,
17661627,2432556,0.0,0,,,,,,,,,,
8756845,1096081,0.0,0,,,,,,,,,,
12364764,1591632,0.0,0,,,,,,,,,,
15684637,2035639,5.0,6,요청사항을 정확히 반영해요,4,가격 대비 만족스러워요,3,포인트를 잘 짚어줘요,1,결과물 완성도가 높아요,4,응대가 친절해요,3
5631020,2189737,5.0,5,실력이 향상됐어요,3,커리큘럼이 탄탄해요,2,상담이 자세해요,2,응대가 친절해요,3,기초부터 가르쳐줘요,2
18378286,2467586,0.0,0,,,,,,,,,,
5919072,2411102,0.0,0,,,,,,,,,,
15098108,2279370,0.0,0,,,,,,,,,,
16641421,2188222,0.0,0,,,,,,,,,,
16246763,2128341,0.0,0,,,,,,,,,,
15033357,1919942,0.0,0,,,,,,,,,,
14178119,1815987,0.0,0,,,,,,,,,,
10186408,1805069,0.0,0,,,,,,,,,,
5052022,685991,5.0,187,포인트를 잘 짚어줘요,82,가격 대비 만족스러워요,38,기초부터 가르쳐줘요,50,커리큘럼이 탄탄해요,39,응대가 친절해요,82
11613245,1970641,5.0,1,가격 대비 만족스러워요,1,결과물 완성도가 높아요,1,응대가 친절해요,1,,,,
6779731,1550162,5.0,1,경험과 노하우가 많아요,1,가격 대비 만족스러워요,1,응대가 친절해요,1,,,,
14860071,2166597,0.0,0,,,,,,,,,,
10492439,1338769,5.0,37,가격 대비 만족스러워요,16,요청사항을 정확히 반영해요,2,커리큘럼이 탄탄해요,15,경험과 노하우가 많아요,25,상담이 자세해요,2
7673445,973604,4.9,110,응대가 친절해요,48,가격 대비 만족스러워요,17,요청사항을 정확히 반영해요,5,커리큘럼이 탄탄해요,9,경험과 노하우가 많아요,36
1922737,323515,4.7,16,응대가 친절해요,7,경험과 노하우가 많아요,7,커리큘럼이 탄탄해요,1,가격 대비 만족스러워요,3,포인트를 잘 짚어줘요,8
9348574,1878213,5.0,2,포인트를 잘 짚어줘요,1,경험과 노하우가 많아요,1,응대가 친절해요,2,기초부터 가르쳐줘요,2,,
3203901,452661,5.0,1,,,,,,,,,,
7531059,2458759,0.0,0,,,,,,,,,,
12301235,2232097,0.0,0,,,,,,,,,,
16666392,2191910,0.0,0,,,,,,,,,,
12011463,2023676,0.0,0,,,,,,,,,,
12204531,1645479,0.0,0,,,,,,,,,,
7570978,962355,0.0,0,,,,,,,,,,
4253879,671664,0.0,0,,,,,,,,,,
808337,165077,0.0,0,,,,,,,,,,
9292793,1159706,0.0,0,,,,,,,,,,
16267089,2130672,0.0,0,,,,,,,,,,
17397006,2309855,5.0,5,가격 대비 만족스러워요,3,응대가 친절해요,4,상담이 자세해요,5,실력이 향상됐어요,3,과도한 추가금이 없어요,1
6362769,876406,0.0,0,,,,,,,,,,
1588675,806157,5.0,4,응대가 친절해요,3,기초부터 가르쳐줘요,2,커리큘럼이 탄탄해요,3,가격 대비 만족스러워요,1,포인트를 잘 짚어줘요,3
5461241,694758,5.0,5,,,,,,,,,,
4753933,1551494,5.0,4,기초부터 가르쳐줘요,4,응대가 친절해요,3,경험과 노하우가 많아요,1,포인트를 잘 짚어줘요,2,가격 대비 만족스러워요,2
16334874,2142248,0.0,0,,,,,,,,,,
10721645,1366956,0.0,0,,,,,,,,,,
6480229,1289713,0.0,0,,,,,,,,,,
8221974,1050538,0.0,0,,,,,,,,,,
4901613,639070,0.0,0,,,,,,,,,,
2276799,359082,0.0,0,,,,,,,,,,
15535642,2010182,0.0,0,,,,,,,,,,
10189216,1297613,0.0,0,,,,,,,,,,
972084,747492,5.0,1,,,,,,,,,,
6612671,828526,0.0,0,,,,,,,,,,
5344709,682451,5.0,5,,,,,,,,,,
8732854,1093577,5.0,5,경험과 노하우가 많아요,3,가격 대비 만족스러워요,3,커리큘럼이 탄탄해요,2,기초부터 가르쳐줘요,3,응대가 친절해요,5
762150,265034,5.0,1,,,,,,,,,,
6590134,825110,5.0,3,기초부터 가르쳐줘요,3,경험과 노하우가 많아요,3,커리큘럼이 탄탄해요,3,포인트를 잘 짚어줘요,3,가격 대비 만족스러워요,3
6357422,794068,0.0,0,,,,,,,,,,
4650417,612054,0.0,0,,,,,,,,,,
3437782,1411729,5.0,1,포인트를 잘 짚어줘요,1,응대가 친절해요,1,,,,,,
914486,1099409,5.0,7,응대가 친절해요,6,경험과 노하우가 많아요,5,커리큘럼이 탄탄해요,3,가격 대비 만족스러워요,5,포인트를 잘 짚어줘요,6
6103536,765293,5.0,5,,,,,,,,,,
10450975,1333049,5.0,1,응대가 친절해요,1,가격 대비 만족스러워요,1,포인트를 잘 짚어줘요,1,,,,
11827602,1508176,0.0,0,,,,,,,,,,
10371757,1446669,0.0,0,,,,,,,,,,
11323077,1476864,5.0,3,응대가 친절해요,1,포인트를 잘 짚어줘요,2,경험과 노하우가 많아요,2,가격 대비 만족스러워요,1,요청사항을 정확히 반영해요,1
10595925,1352282,0.0,0,,,,,,,,,,
6979162,882627,0.0,0,,,,,,,,,,
6764620,850751,0.0,0,,,,,,,,,,
5509275,1276210,5.0,2,응대가 친절해요,2,가격 대비 만족스러워요,1,요청사항을 정확히 반영해요,1,경험과 노하우가 많아요,2,커리큘럼이 탄탄해요,1
222980,53735,5.0,4,가격 대비 만족스러워요,3,커리큘럼이 탄탄해요,3,기초부터 가르쳐줘요,1,포인트를 잘 짚어줘요,2,응대가 친절해요,3
17288558,2292709,0.0,0,,,,,,,,,,
1140707,2232856,5.0,3,포인트를 잘 짚어줘요,3,커리큘럼이 탄탄해요,3,실력이 향상됐어요,3,상담이 자세해요,1,요청사항을 정확히 반영해요,1
537360,1689703,0.0,0,,,,,,,,,,
8799427,1100328,0.0,0,,,,,,,,,,
2161799,346419,5.0,31,포인트를 잘 짚어줘요,2,경험과 노하우가 많아요,1,기초부터 가르쳐줘요,1,응대가 친절해요,2,커리큘럼이 탄탄해요,1
5685298,718457,5.0,4,,,,,,,,,,
3405617,472921,5.0,2,,,,,,,,,,
10628455,1356159,0.0,0,,,,,,,,,,
17801333,2377117,5.0,25,작업 속도가 빨라요,10,시세보다 저렴해요,4,응대가 친절해요,18,약속 시간을 잘 지켜요,2,상담이 자세해요,18
15867011,2067215,5.0,3,응대가 친절해요,3,과도한 추가금이 없어요,2,응답이 빨라요,2,결과물 완성도가 높아요,2,요청사항을 정확히 반영해요,3
6910291,872407,5.0,128,결과물 완성도가 높아요,67,진행 현황을 수시로 공유해요,9,경험과 노하우가 많아요,12,요청사항을 정확히 반영해요,18,가격 대비 만족스러워요,72
17037075,2251915,5.0,45,결과물 완성도가 높아요,35,응대가 친절해요,34,요청사항을 정확히 반영해요,24,상담이 자세해요,30,경험과 노하우가 많아요,13
14381337,1876526,0.0,0,,,,,,,,,,
11065465,1410331,0.0,0,,,,,,,,,,
2284097,359901,0.0,0,,,,,,,,,,
12128733,1575146,4.9,219,약속 시간을 잘 지켜요,79,가격 대비 만족스러워요,106,응답이 빨라요,76,작업 속도가 빨라요,60,응대가 친절해요,178
5953368,749472,5.0,154,응답이 빨라요,38,가격 대비 만족스러워요,69,약속 시간을 잘 지켜요,52,결과물 완성도가 높아요,96,진행 현황을 수시로 공유해요,38
5192539,667880,4.9,151,작업 속도가 빨라요,30,응대가 친절해요,84,가격 대비 만족스러워요,57,응답이 빨라요,21,결과물 완성도가 높아요,76
12387359,1590362,5.0,148,결과물 완성도가 높아요,105,시세보다 저렴해요,7,작업 속도가 빨라요,45,응대가 친절해요,103,약속 시간을 잘 지켜요,56
9246778,1632119,5.0,106,응대가 친절해요,78,응답이 빨라요,8,가격 대비 만족스러워요,69,약속 시간을 잘 지켜요,22,결과물 완성도가 높아요,88
9085844,1132701,5.0,96,응답이 빨라요,38,응대가 친절해요,77,작업 속도가 빨라요,47,진행 현황을 수시로 공유해요,34,결과물 완성도가 높아요,87
14137922,1811859,5.0,69,가격 대비 만족스러워요,32,응답이 빨라요,15,진행 현황을 수시로 공유해요,17,결과물 완성도가 높아요,56,작업 속도가 빨라요,27
7390254,941029,4.9,65,작업 속도가 빨라요,21,응대가 친절해요,46,가격 대비 만족스러워요,34,응답이 빨라요,15,결과물 완성도가 높아요,37
5689288,718846,4.9,53,가격 대비 만족스러워요,32,작업 속도가 빨라요,14,응대가 친절해요,38,약속 시간을 잘 지켜요,23,결과물 완성도가 높아요,35
5370744,684685,5.0,49,약속 시간을 잘 지켜요,22,결과물 완성도가 높아요,38,응답이 빨라요,15,가격 대비 만족스러워요,29,작업 속도가 빨라요,15
5829747,735258,5.0,48,,,,,,,,,,
2824636,773757,4.9,37,응대가 친절해요,20,약속 시간을 잘 지켜요,10,결과물 완성도가 높아요,19,응답이 빨라요,6,가격 대비 만족스러워요,19
5731999,723720,5.0,29,약속 시간을 잘 지켜요,2,응대가 친절해요,17,작업 속도가 빨라요,1,가격 대비 만족스러워요,13,응답이 빨라요,1
9364668,1170279,4.8,25,응대가 친절해요,11,약속 시간을 잘 지켜요,11,가격 대비 만족스러워요,9,결과물 완성도가 높아요,12,작업 속도가 빨라요,10
1661107,511333,5.0,23,응대가 친절해요,14,약속 시간을 잘 지켜요,17,결과물 완성도가 높아요,13,응답이 빨라요,12,가격 대비 만족스러워요,15
4356366,577588,4.6,10,,,,,,,,,,
13954518,1789607,5.0,8,응대가 친절해요,6,결과물 완성도가 높아요,5,과도한 추가금이 없어요,1,관리법을 잘 알려줘요,1,요청사항을 정확히 반영해요,5
13209947,1705020,5.0,8,응대가 친절해요,6,결과물 완성도가 높아요,4,가격 대비 만족스러워요,4,관리법을 잘 알려줘요,1,응답이 빨라요,3
4583707,604128,5.0,6,,,,,,,,,,
1939710,325039,4.8,6,,,,,,,,,,
15288392,1963878,5.0,5,상담이 자세해요,3,가격 대비 만족스러워요,1,경험과 노하우가 많아요,3,결과물 완성도가 높아요,2,약속 시간을 잘 지켜요,2
9239587,1152449,5.0,4,응대가 친절해요,4,결과물 완성도가 높아요,4,가격 대비 만족스러워요,4,응답이 빨라요,3,약속 시간을 잘 지켜요,3
4385173,609147,5.0,2,,,,,,,,,,
1743281,1857824,5.0,1,응대가 친절해요,1,결과물 완성도가 높아요,1,가격 대비 만족스러워요,0,요청사항을 정확히 반영해요,1,응답이 빨라요,1
18009124,2409527,0.0,0,,,,,,,,,,
15997706,2089463,0.0,0,,,,,,,,,,
15668001,2032675,0.0,0,,,,,,,,,,
15532995,2009762,0.0,0,,,,,,,,,,
15449703,1995209,0.0,0,,,,,,,,,,
15278309,1961912,0.0,0,,,,,,,,,,
13568397,1746295,0.0,0,,,,,,,,,,
12154600,1553029,0.0,0,,,,,,,,,,
9646552,1215546,0.0,0,,,,,,,,,,
10827985,1965619,5.0,87,응답이 빨라요,15,가격 대비 만족스러워요,43,약속 시간을 잘 지켜요,18,결과물 완성도가 높아요,60,진행 현황을 수시로 공유해요,11
16134040,2110709,5.0,12,결과물 완성도가 높아요,10,과도한 추가금이 없어요,4,작업 속도가 빨라요,3,요청사항을 정확히 반영해요,6,약속 시간을 잘 지켜요,5
14989200,2067687,5.0,2,요청사항을 정확히 반영해요,2,결과물 완성도가 높아요,2,A/S를 잘해줘요,1,응대가 친절해요,2,시세보다 저렴해요,1
16236933,2345660,0.0,0,,,,,,,,,,
4457178,1896324,0.0,0,,,,,,,,,,
8901472,1110976,4.9,66,응답이 빨라요,15,가격 대비 만족스러워요,49,약속 시간을 잘 지켜요,23,결과물 완성도가 높아요,57,진행 현황을 수시로 공유해요,13
12421053,1595576,4.8,19,진행 현황을 수시로 공유해요,0,응답이 빨라요,2,가격 대비 만족스러워요,17,약속 시간을 잘 지켜요,10,응대가 친절해요,13
17540810,2333364,5.0,1,과도한 추가금이 없어요,1,요청사항을 정확히 반영해요,1,상담이 자세해요,1,약속 시간을 잘 지켜요,1,응대가 친절해요,1
